0x2 ALT
0x207 L IND
0x702 1
0x602 2
0x703 3
0x603 4
0x705 5
0x605 6
0x704 7
0x604 8
0x707 9
0x607 0
0x706 ?
0x606 `
0x103 RELOC
0x102 INDEX
0x501 q
0x301 w
0x502 e
0x302 r
0x503 t
0x303 y
0x505 u
0x305 i
0x504 o
0x304 p
0x500 å
0x300 ^
0x105 BACKSPACE
0x01 CAPS
0x201 a
0x404 s
0x204 d
0x402 f
0x202 g
0x403 h
0x203 j
0x405 k
0x205 l
0x400 ö
0x200 ä
0x601 *
0x101 ENTER
0x00 LEFT SHIFT
0x401 z
0x406 x
0x407 c
0x507 v
0x307 b
0x506 n
0x306 m
0x700 ,
0x600 .
0x701 _
0x00 RIGHT SHIFT
0x107 CODE
0x104 WORD OUT
0x100 SPACE
0x106 DEL
